PolicyNumber,ProductCode,Sex,IssueAge,IssueDate, FaceAmount ,AnnualPremium
P100477,UL,M,47,8/22/24," 708,000 ",9912
P100478,TRM20,M,25,10/21/11," 1,133,000 ",9064
P100479,UL,F,49,5/12/19," 991,000 ",14865
P100480,WL,F,70,11/15/00," 588,000 ",2352
P100481,TRM20,M,43,6/13/95," 204,000 ",4896
P100482,TRM30,F,36,1/20/22," 385,000 ",8470
P100483,UL,M,25,7/14/17," 1,770,000 ",28320
P100484,TRM20,M,30,1/14/08," 343,000 ",3773
P100485,TRM10,F,24,8/19/22," 550,000 ",1650
P100486,TRM30,F,27,12/14/02," 1,798,000 ",19778
P100487,TRM30,F,37,10/25/02," 1,055,000 ",10550
P100488,WL,F,49,2/23/18," 1,109,000 ",5545
P100489,XX99,F,42,7/12/02," 1,759,000 ",19349
P100490,UL,F,40,1/2/01," 838,000 ",19274
P100491,WL,M,44,11/21/01," 984,000 ",20664
P100492,TRM30,F,44,3/7/23," 1,025,000 ",15375
P100493,WL,M,73,3/22/97," 1,295,000 ",23310
P100494,TRM10,M,72,3/28/14," 1,199,000 ",19184
P100017,TRM10,M,20,4/19/12," 1,299,000 ",16887
P100496,TRM20,M,56,8/21/23," 1,162,000 ",11620
P100497,TRM10,M,29,12/5/96," 1,739,000 ",6956
P100498,UL,M,38,7/6/16," 199,000 ",4776
P100499,TRM10,F,65,8/11/10," 174,000 ",4350
P100500,TRM20,M,73,8/8/13," 1,809,000 ",39798
P100501,TRM30,F,39,8/7/06," 156,000 ",2028
P100502,TRM20,M,26,12/7/97," 351,000 ",6318
P100503,TRM20,F,23,12/3/24," 1,467,000 ",16137
P100504,TRM10,F,25,1/14/96," 656,000 ",7216
P100505,UL,M,58,1/3/14," 112,000 ",672
P100506,TRM30,F,22,2/8/15," 88,000 ",616
P100507,WL,M,44,11/12/07," 296,000 ",5920
P100508,TRM10,F,28,8/23/13," 123,000 ",1107
P100509,TRM30,M,62,9/3/23," 1,856,000 ",7424
P100510,UL,M,75,4/6/07," 387,000 ",5031
P100511,WL,F,34,1/8/11," 1,946,000 ",9730
P100512,UL,M,68,3/1/23," 273,000 ",3003
P100513,TRM10,F,62,2/3/20," 1,169,000 ",24549
P100514,TRM20,F,66,6/6/04," 940,000 ",10340
P100515,TRM30,M,39,8/15/10," 1,086,000 ",15204
P100516,TRM10,F,64,11/15/09," 529,000 ",5819
P100517,TRM30,F,65,2/11/15," 657,000 ",6570
P100518,WL,F,51,8/21/97," 748,000 ",12716
P100519,TRM10,M,39,9/8/01," 575,000 ",12650
P100520,TRM30,F,37,1/23/10," 522,000 ",7308
P100521,WL,F,20,2/13/12," 777,000 ",12432
P100522,TRM30,M,24,11/10/17," 1,118,000 ",17888
P100523,TRM30,F,47,2/7/19," 1,411,000 ",35275
P100524,WL,M,20,7/5/06," 1,869,000 ",42987
P100525,TRM30,M,75,5/3/09," 167,000 ",1169
P100526,TRM20,M,26,9/21/97," 1,692,000 ",6768
P100527,TRM10,M,57,2/14/23," 1,616,000 ",32320
P100528,TRM20,F,47,4/9/24," 30,000 ",660
P100529,TRM20,F,50,1/17/17," 141,000 ",3525
P100530,WL,M,73,5/23/06," 1,778,000 ",33782
P100531,WL,F,24,9/23/16," 134,000 ",1340
P100532,TRM10,F,46,2/12/22," 1,342,000 ",6710
P100533,TRM20,M,67,4/27/23," 369,000 ",9225
P100534,WL,M,19,2/2/97," 1,850,000 ",7400
P100535,WL,M,22,8/23/06," 1,526,000 ",9156
P100536,TRM10,F,36,9/17/98," 1,219,000 ",20723
P100537,WL,M,59,7/28/01," 114,000 ",2166
P100538,WL,M,71,10/9/98," 1,533,000 ",4599
P100539,TRM10,F,59,9/22/96," 84,000 ",840
P100540,WL,M,55,5/10/02," 1,988,000 ",43736
P100541,TRM10,M,42,7/14/16," 244,000 ",2440
P100542,TRM30,F,36,4/6/06," 1,566,000 ",14094
P100543,UL,M,22,8/2/03," 356,000 ",5696
P100544,TRM10,M,21,5/18/02," 1,497,000 ",35928
P100545,TRM20,M,24,3/21/16," 651,000 ",5208
P100546,WL,M,40,12/20/21," 247,000 ",3705
P100547,WL,M,33,5/24/19," 333,000 ",7992
P100548,UL,M,24,2/8/19," 1,164,000 ",24444
P100549,TRM30,F,41,1/6/16," 499,000 ",6487
P100550,TRM30,F,23,9/17/12," 977,000 ",2931
P100551,TRM30,M,53,11/15/15," 935,000 ",16830
P100552,TRM30,F,66,3/11/03," 741,000 ",13338
P100553,TRM10,M,53,10/10/00," 877,000 ",17540
P100554,WL,F,18,7/26/03," 1,700,000 ",37400
P100555,TRM30,F,53,9/28/24," 823,000 ",19752
P100556,WL,M,28,12/11/07," 1,176,000 ",21168
P100557,TRM30,F,69,3/21/18," 1,336,000 ",30728
P100558,WL,M,59,1/14/18," 1,179,000 ",24759
P100559,TRM30,F,44,2/9/17," 209,000 ",3553
P100560,UL,M,24,2/2/99," 73,000 ",219
P100561,UL,F,61,3/20/10," 1,966,000 ",23592
P100562,UL,F,66,4/10/19," 62,000 ",1240
P100563,UL,M,57,3/14/02," 1,544,000 ",23160
P100564,TRM20,F,23,2/7/05," 1,656,000 ",28152
P100565,TRM30,M,54,6/15/25," 1,121,000 ",6726
P100566,WL,M,22,2/15/17," 299,000 ",6578
P100567,TRM20,F,56,1/7/03," 702,000 ",16146
P100568,TRM20,F,36,3/22/97," 1,518,000 ",10626
P100569,TRM30,F,57,5/5/23," 1,871,000 ",37420
P100570,TRM30,F,37,8/18/21," 1,597,000 ",11179
P100571,UL,F,33,10/6/19," 1,109,000 ",6654
P100572,TRM10,F,24,10/12/15," 1,865,000 ",26110
P100573,TRM30,M,22,3/12/23," 1,640,000 ",31160
P100574,UL,F,61,6/13/21," 662,000 ",3310
P100575,WL,M,68,9/28/10," 1,407,000 ",28140
P100576,TRM10,M,42,3/20/17," 846,000 ",20304
P100577,UL,F,61,7/18/05," 1,828,000 ",25592
P100578,TRM10,F,37,1/8/23," 190,000 ",2280
P100579,TRM10,F,39,1/18/00," 1,739,000 ",41736
P100580,TRM20,M,39,6/15/25," 881,000 ",6167
P100581,TRM20,F,68,3/8/07," 1,084,000 ",11924
P100582,WL,M,49,7/1/00," 683,000 ",6147
P100583,WL,F,67,2/22/10," 1,188,000 ",4752
P100584,UL,M,30,8/1/23," 1,973,000 ",17757
P100585,WL,M,34,5/28/06," 1,405,000 ",7025
P100586,TRM20,M,46,8/2/03," 1,118,000 ",14534
P100587,TRM30,F,25,2/20/21," 1,312,000 ",18368
P100588,UL,F,56,5/23/97," 1,583,000 ",6332
P100589,TRM20,F,56,2/15/17," 537,000 ",7518
P100590,TRM30,F,48,10/2/17," 480,000 ",2880
P100591,UL,M,28,9/14/14," 1,213,000 ",3639
P100592,UL,F,30,7/9/21," 1,000,000 ",4000
P100593,TRM20,M,58,3/26/03," 1,847,000 ",11082
P100594,TRM20,F,70,1/3/18," 468,000 ",7956
P100595,WL,F,74,2/14/09," 526,000 ",10520
P100596,TRM20,M,35,8/5/18," 285,000 ",2280
P100597,WL,F,34,12/27/01," 1,676,000 ",41900
P100598,TRM30,M,19,12/9/21," 1,574,000 ",37776
P100599,TRM30,F,28,2/27/10," 145,000 ",1595
P100600,TRM10,F,62,11/28/07," 1,549,000 ",23235
P100601,UL,M,43,10/4/04," 1,558,000 ",24928
P100602,UL,M,35,1/22/23," 1,991,000 ",17919
P100603,TRM20,F,29,7/8/22," 302,000 ",6644
P100604,UL,M,72,8/7/03," 1,280,000 ",14080
P100605,WL,F,45,2/7/00," 44,000 ",924
P100606,TRM20,M,34,1/2/07," 750,000 ",8250
P100607,UL,M,20,4/13/01," 171,000 ",2736
P100608,TRM30,M,50,10/23/04," 304,000 ",3648
P100609,WL,M,63,7/8/24," 953,000 ",7624
P100610,TRM20,F,19,4/28/22," 547,000 ",9299
P100611,TRM20,M,61,10/19/02," 1,672,000 ",33440
P100612,TRM20,M,58,5/19/95," 1,814,000 ",10884
P100613,UL,M,41,9/26/97," 645,000 ",12255
P100614,TRM20,F,74,4/19/95," 1,693,000 ",15237
P100615,WL,F,37,12/7/14," 1,790,000 ",39380
P100616,UL,M,57,1/7/06," 1,119,000 ",11190
P100617,TRM30,M,56,12/28/13," 158,000 ",1738
P100618,TRM30,M,31,12/2/03," 743,000 ",14860
P100619,WL,M,45,5/12/09," 1,905,000 ",17145
P100620,WL,F,70,2/15/03," 580,000 ",2900
P100621,TRM10,M,44,3/19/14," 1,779,000 ",5337
P100622,TRM10,F,69,6/18/19," 611,000 ",10387
P100623,TRM10,F,32,6/5/24," 938,000 ",2814
P100624,TRM10,M,32,2/9/03," 1,139,000 ",27336
P100625,WL,F,24,3/5/11," 1,606,000 ",40150
P100626,WL,F,54,5/26/11," 1,577,000 ",39425
P100627,WL,F,66,2/1/99," 1,086,000 ",27150
P100628,WL,M,27,7/17/15," 1,752,000 ",35040
P100629,TRM20,F,59,11/12/15," 273,000 ",1092
P100630,TRM30,F,43,1/12/09," 714,000 ",5712
P100631,TRM10,M,22,10/26/01," 422,000 ",7596
P100632,WL,M,74,7/11/98," 1,217,000 ",8519
P100633,TRM10,M,52,9/23/98," 1,806,000 ",30702
P100634,TRM20,F,59,9/13/09," 985,000 ",11820
P100635,UL,M,43,1/9/02," 1,555,000 ",38875
P100636,WL,F,48,9/10/03," 554,000 ",3324
P100637,TRM10,F,61,10/26/98," 506,000 ",5060
P100638,TRM10,F,32,8/22/16," 72,000 ",1368
P100639,TRM20,M,34,8/21/95," 346,000 ",6228
P100640,TRM20,F,72,11/22/08," 119,000 ",2737
P100641,TRM30,M,35,11/16/96," 320,000 ",6080
P100642,UL,M,69,10/18/19," 618,000 ",14832
P100643,UL,M,60,6/15/25," 637,000 ",5096
P100644,TRM30,F,30,8/19/02," 932,000 ",23300
P100645,TRM30,M,46,9/28/15," 742,000 ",18550
P100646,TRM30,M,38,9/16/20," 1,785,000 ",33915
P100647,TRM30,F,66,5/14/97," 1,917,000 ",47925
P100648,TRM10,M,64,7/9/16," 744,000 ",12648
P100649,TRM30,M,19,11/13/08," 871,000 ",19162
P100650,TRM30,M,32,12/24/17," 1,858,000 ",13006
P100651,TRM30,F,18,1/14/00," 264,000 ",5544
P100652,TRM30,M,50,11/18/97," 1,600,000 ",32000
P100653,UL,F,71,5/1/07," 1,753,000 ",15777
P100654,WL,M,44,11/19/08," 1,340,000 ",32160
P100655,TRM30,M,42,3/19/18," 58,000 ",928
P100656,WL,F,61,8/14/08," 1,382,000 ",12438
P100657,WL,F,73,6/1/11," 32,000 ",128
P100658,TRM10,M,64,6/15/25," 1,464,000 ",11712
P100659,TRM10,F,71,1/19/00," 564,000 ",10716
P100660,TRM30,F,67,8/4/21," 1,089,000 ",6534
P100661,WL,M,67,11/15/05," 1,609,000 ",28962
P100662,UL,M,67,7/11/05," 1,055,000 ",7385
P100663,TRM30,M,69,1/1/22," 98,000 ",490
P100664,UL,F,62,7/11/11," 1,988,000 ",27832
P100665,TRM10,F,25,2/20/07," 1,205,000 ",8435
P100666,TRM10,M,25,3/26/12," 1,907,000 ",19070
P100667,UL,M,75,7/22/96," 1,408,000 ",15488
P100668,WL,F,46,11/5/22," 1,833,000 ",40326
P100669,WL,M,75,11/16/22," 1,331,000 ",15972
P100670,TRM20,M,35,6/18/21," 438,000 ",10512
P100671,UL,F,25,8/20/02," 1,167,000 ",19839
P100672,UL,M,27,8/23/04," 1,290,000 ",7740
P100673,UL,F,69,4/6/21," 908,000 ",20884
P100674,TRM10,F,58,8/13/17," 523,000 ",4184
P100675,UL,M,46,8/17/18," 680,000 ",8840
P100676,TRM10,F,39,9/3/15," 875,000 ",9625
P100677,TRM20,M,31,4/13/12," 650,000 ",7150
P100678,WL,M,58,12/23/24," 74,000 ",592
P100679,WL,F,40,1/24/12," 1,217,000 ",4868
P100680,TRM30,F,72,8/17/09," 1,930,000 ",13510
P100681,WL,F,46,10/12/08," 43,000 ",430
P100682,TRM20,M,19,10/2/22," 1,811,000 ",38031
P100683,TRM20,F,20,6/6/15," 830,000 ",5810
P100684,TRM30,F,45,5/27/14," 538,000 ",11836
P100685,TRM10,F,53,7/22/07," 1,892,000 ",13244
P100686,WL,F,51,3/25/07," 706,000 ",7766
P100687,TRM20,F,47,8/28/17," 1,514,000 ",22710
P100688,UL,M,57,12/18/10," 201,000 ",3216
P100689,UL,F,46,2/10/22," 1,252,000 ",30048
P100690,TRM10,F,21,1/3/14," 1,437,000 ",17244
P100691,TRM30,M,47,7/12/08," 1,651,000 ",37973
P100692,UL,F,38,11/14/11," 1,965,000 ",21615
P100693,TRM20,M,62,4/6/13," 1,102,000 ",25346
P100694,UL,M,53,6/23/14," 1,772,000 ",7088
P100695,WL,F,51,2/9/11," 493,000 ",10846
P100696,WL,F,63,6/15/25," 1,863,000 ",14904
P100697,WL,M,32,2/23/01," 226,000 ",2260
P100698,TRM10,M,29,9/21/05," 1,670,000 ",40080
P100699,WL,M,66,10/24/16," 691,000 ",11056
P100700,TRM10,M,18,5/27/03," 247,000 ",1729
P100701,TRM30,F,28,4/12/08," 561,000 ",10659
P100702,TRM20,M,61,9/10/18," 1,205,000 ",18075
P100703,TRM10,M,19,3/14/02," 844,000 ",16036
P100704,TRM20,M,37,1/18/99, -   ,2550
P100705,TRM20,M,43,9/9/19," 943,000 ",16031
P100706,TRM10,F,31,4/13/22," 1,511,000 ",33242
P100707,TRM30,M,46,12/2/16," 1,767,000 ",31806
P100708,TRM20,F,27,1/17/19," 631,000 ",3155
P100709,UL,M,27,9/28/98," 495,000 ",5940
P100710,UL,F,37,8/25/18," 1,604,000 ",14436
P100711,WL,M,61,10/23/02," 1,283,000 ",3849
P100712,UL,F,67,7/20/99," 206,000 ",3502
P100713,TRM10,F,43,11/13/17," 1,141,000 ",28525
P100714,WL,F,64,10/25/18," 1,135,000 ",13620
P100715,WL,M,47,2/4/16," 742,000 ",11872
P100716,TRM20,,35,12/18/12," 648,000 ",6480
P100717,UL,F,55,8/26/96," 1,126,000 ",28150
P100718,TRM20,F,43,2/18/21," 491,000 ",9820
P100719,WL,M,42,11/5/99," 679,000 ",11543
P100720,TRM30,F,65,11/6/06," 95,000 ",380
P100721,TRM30,F,49,8/21/17," 1,070,000 ",23540
P100722,TRM10,F,49,9/26/13," 238,000 ",2856
P100723,WL,M,65,3/22/20," 1,502,000 ",34546
P100724,,M,20,12/21/19," 877,000 ",11401
P100725,WL,M,38,9/23/10," 1,262,000 ",27764
P100726,TRM10,F,65,12/25/19," 1,937,000 ",21307
P100727,WL,F,34,10/4/22," 612,000 ",6120
P100728,TRM10,F,63,8/9/06," 1,282,000 ",30768
P100729,UL,F,55,6/2/98," 1,813,000 ",30821
P100730,TRM30,M,24,9/12/17," 1,714,000 ",29138
P100731,TRM20,F,30,5/22/97," 1,039,000 ",19741
P100732,TRM30,F,60,2/24/02," 1,319,000 ",13190
P100733,TRM30,F,38,6/19/05," 1,364,000 ",23188
P100734,TRM10,M,35,6/22/06," 475,000 ",3800
P100735,TRM10,F,75,4/27/11," 948,000 ",4740
P100736,WL,M,24,4/5/09," 734,000 ",4404
P100737,UL,F,41,12/4/19," 627,000 ",3762
P100738,WL,F,67,10/10/09," 186,000 ",2604
P100739,WL,M,65,9/8/95," 1,728,000 ",22464
P100740,UL,M,29,4/6/05," 891,000 ",4455
P100741,UL,F,36,1/28/00," 1,362,000 ",21792
P100742,TRM30,M,57,4/3/14," 1,002,000 ",5010
P100743,TRM10,F,41,4/23/95," 1,460,000 ",5840
P100744,TRM10,M,44,4/9/10," 1,010,000 ",3030
P100745,UL,M,52,6/15/12," 570,000 ",2850
P100746,TRM20,F,35,5/7/95," 458,000 ",5954
P100747,TRM30,F,38,11/1/95," 309,000 ",7107
P100748,UL,F,22,4/19/96," 1,487,000 ",34201
P100749,WL,M,26,7/13/08," 857,000 ",21425
P100750,UL,F,46,7/17/22," 390,000 ",7800
P100751,WL,F,33,12/8/20," 1,942,000 ",31072
P100752,TRM30,F,30,5/12/02," 138,000 ",690
P100753,TRM10,F,47,3/19/04," 378,000 ",4158
P100754,UL,M,51,7/9/05," 1,362,000 ",9534
P100755,WL,F,58,11/14/18," 1,093,000 ",5465
P100756,TRM20,F,37,5/15/01," 1,557,000 ",18684
P100757,WL,M,24,7/10/96," 123,000 ",861
P100758,WL,M,72,4/17/18," 1,904,000 ",47600
P100759,TRM10,M,71,5/25/24," 437,000 ",6992
P100760,TRM10,F,48,7/19/01," 1,566,000 ",4698
P100761,XX99,M,69,6/17/23," 1,645,000 ",27965
P100762,TRM10,M,38,6/3/24," 1,482,000 ",35568
P100763,WL,F,53,4/14/04," 580,000 ",6960
P100764,TRM30,F,29,1/14/10," 1,582,000 ",26894
P100765,UL,M,56,10/23/19," 1,856,000 ",7424
P100766,UL,F,52,8/1/11," 1,143,000 ",12573
P100767,UL,M,43,2/22/10," 571,000 ",12562
P100768,UL,F,46,9/22/98," 1,715,000 ",5145
P100769,WL,M,37,12/9/14," 1,176,000 ",5880
P100770,WL,F,73,11/9/07," 1,640,000 ",29520
P100771,WL,M,51,11/1/05," 1,463,000 ",29260
P100772,TRM30,M,59,7/8/11," 47,000 ",846
P100773,TRM10,M,18,7/23/98," 1,952,000 ",35136
P100774,UL,M,65,10/6/03," 569,000 ",10811
P100775,TRM10,M,22,8/6/96," 1,783,000 ",21396
P100776,TRM30,M,57,8/6/08," 1,549,000 ",30980
P100777,TRM20,M,40,12/13/11," 1,347,000 ",12123
P100778,TRM20,M,47,1/20/22," 1,852,000 ",40744
P100779,WL,M,66,8/22/24," 1,962,000 ",49050
P100780,UL,M,63,4/19/01," 777,000 ",13209
P100781,WL,M,73,6/26/00," 127,000 ",1397
P100782,TRM30,M,36,8/4/98," 1,293,000 ",3879
P100783,TRM30,M,56,9/24/19," 1,270,000 ",24130
P100784,WL,M,48,7/6/07," 671,000 ",2013
P100785,TRM10,F,35,4/7/00," 1,458,000 ",16038
P100786,UL,M,29,5/25/10," 287,000 ",5166
P100787,WL,F,34,2/21/21," 213,000 ",3408
P100788,TRM30,F,72,4/24/00," 943,000 ",22632
P100789,TRM30,M,26,3/2/12," 1,203,000 ",20451
P100790,TRM10,M,31,9/7/15," 409,000 ",2863
P100791,WL,M,72,10/8/05," 391,000 ",7038
P100792,TRM20,F,21,4/2/06," 276,000 ",1656
P100793,TRM10,F,32,12/23/05," 161,000 ",2898
P100794,TRM10,F,58,12/19/07," 1,936,000 ",30976
P100795,UL,M,49,8/14/17," 612,000 ",6732
P100796,TRM20,F,36,11/19/11," 676,000 ",14872
P100797,WL,F,36,11/1/12," 1,996,000 ",15968
P100798,UL,F,44,2/11/07," 832,000 ",20800
P100799,TRM30,F,31,5/2/06," 1,722,000 ",37884
P100800,XX99,F,41,11/13/18," 653,000 ",13713
P100801,TRM20,M,43,2/1/96," 258,000 ",5676
P100802,WL,F,56,12/4/18," 1,342,000 ",12078
P100803,,M,20,10/20/02," 1,532,000 ",12256
P100804,TRM30,F,67,10/17/04," 803,000 ",17666
P100805,TRM10,F,54,8/1/11," 1,245,000 ",26145
P100806,WL,M,63,6/9/22," 539,000 ",11858
P100807,TRM10,F,54,9/16/08," 1,204,000 ",16856
P100808,UL,M,71,3/23/13," 1,788,000 ",26820
P100809,TRM20,M,28,10/24/04," 878,000 ",20194
P100810,TRM20,F,45,10/2/08," 1,751,000 ",12257
P100811,TRM30,M,29,1/1/24," 1,177,000 ",3531
P100812,TRM20,M,70,1/8/02," 542,000 ",1626
P100813,UL,M,23,9/24/00," 1,736,000 ",12152
P100814,TRM20,M,50,5/28/03," 409,000 ",6544
P100815,TRM10,M,73,10/15/24," 34,000 ",850
P100816,TRM30,M,35,11/2/07," 1,273,000 ",25460
P100817,UL,F,22,2/2/16," 300,000 ",6300
P100818,TRM30,M,37,10/23/99," 887,000 ",8870
P100819,WL,M,25,4/5/17," 90,000 ",1170
P100820,TRM30,M,75,10/10/19," 1,536,000 ",13824
P100821,TRM20,M,39,10/11/21," 1,822,000 ",20042
P100822,TRM10,M,35,12/22/12," 887,000 ",16853
P100823,TRM30,M,30,3/28/97," 1,690,000 ",8450
P100824,TRM20,M,50,5/25/21," 121,000 ",1815
P100825,UL,M,28,6/16/98," 523,000 ",10460
P100826,TRM20,M,21,3/28/04," 1,412,000 ",16944
P100827,UL,F,19,10/1/01," 1,008,000 ",14112
P100828,TRM20,M,52,2/19/23," 716,000 ",2864
P100829,WL,F,57,11/5/00," 540,000 ",10260
P100830,TRM20,M,22,11/22/21," 718,000 ",7180
P100831,TRM20,M,19,8/5/12," 443,000 ",4430
P100832,UL,M,48,5/12/24," 1,341,000 ",33525
P100833,WL,F,46,7/4/96," 788,000 ",18912
P100834,WL,F,40,2/14/21," 27,000 ",594
P100835,TRM10,F,52,9/17/09," 228,000 ",3192
P100836,TRM10,F,31,9/12/03," 1,021,000 ",14294
P100837,UL,F,70,9/12/97," 1,670,000 ",36740
P100838,TRM30,M,35,8/2/15," 440,000 ",6600
P100839,WL,M,23,7/5/15," 376,000 ",7896
P100840,TRM30,F,72,11/28/17," 1,082,000 ",14066
P100841,TRM20,F,65,11/15/96," 559,000 ",6149
P100842,TRM20,M,63,12/22/16," 802,000 ",9624
P100843,TRM20,M,72,10/24/98," 500,000 ",7500
P100844,TRM10,F,40,7/15/98," 49,000 ",735
P100845,TRM10,M,57,12/15/24," 1,310,000 ",11790
P100846,UL,F,50,11/19/09," 1,111,000 ",13332
P100847,TRM10,F,56,4/9/05," 1,874,000 ",14992
P100848,UL,M,29,4/14/17," 987,000 ",19740
P100849,WL,M,55,6/21/23," 942,000 ",13188
P100850,TRM30,M,26,12/16/99," 1,910,000 ",24830
P100851,WL,M,27,2/14/02," 831,000 ",16620
P100852,TRM10,M,24,7/27/22," 1,490,000 ",32780
P100853,UL,F,22,8/28/10," 1,698,000 ",35658
P100854,TRM30,F,33,12/19/09," 643,000 ",3215
P100855,UL,F,18,10/4/22," 1,196,000 ",23920
P100856,TRM30,M,52,4/15/09," 1,184,000 ",17760
P100857,TRM20,M,36,1/19/13," 1,574,000 ",11018
P100858,TRM20,M,59,9/2/05," 927,000 ",16686
P100859,TRM30,M,32,8/6/11," 1,505,000 ",37625
P100860,WL,M,29,10/11/12," 1,491,000 ",29820
P100861,WL,F,35,5/1/13," 545,000 ",2725
P100862,TRM20,M,30,8/11/95," 1,482,000 ",32604
P100863,WL,M,38,8/4/02," 69,000 ",1173
P100864,UL,F,51,12/25/04," 1,201,000 ",20417
P100865,TRM20,M,21,3/4/16," 184,000 ",4600
P100866,TRM30,M,47,7/11/12," 237,000 ",1422
P100867,XX99,F,37,2/13/03," 1,375,000 ",28875
P100868,WL,M,55,5/2/96," 1,258,000 ",6290
P100869,UL,F,36,4/3/07," 808,000 ",14544
P100870,TRM30,M,58,7/5/22," 296,000 ",6216
P100871,TRM10,M,43,12/12/16," 32,000 ",416
P100872,WL,F,42,8/16/10," 989,000 ",2967
P100873,TRM20,F,27,7/19/15," 501,000 ",9018
P100874,WL,F,65,7/20/00," 1,529,000 ",27522
P100875,TRM10,M,71,9/15/16," 221,000 ",3536
P100876,UL,M,38,1/21/07," 1,110,000 ",16650
P100877,UL,F,45,1/2/11," 841,000 ",13456
P100878,TRM20,F,28,12/8/13," 1,647,000 ",26352
P100879,TRM10,F,39,4/28/15," 142,000 ",2130
P100880,TRM10,M,71,11/27/11," 1,313,000 ",30199
P100881,TRM20,M,67,1/19/05," 802,000 ",14436
P100882,TRM20,M,54,1/2/02," 445,000 ",3115
P100883,XX99,F,53,1/17/23," 1,638,000 ",6552
P100884,WL,F,30,4/22/04," 991,000 ",15856
P100885,UL,M,67,1/26/00," 1,564,000 ",12512
P100886,TRM20,M,28,4/11/98," 1,290,000 ",16770
P100887,TRM20,F,47,6/10/06," 1,408,000 ",29568
P100888,TRM20,F,36,6/17/14," 1,403,000 ",28060
P100889,TRM10,M,32,1/15/06," 48,000 ",1008
P100890,WL,M,28,11/16/11," 453,000 ",10419
P100891,UL,F,54,5/2/19," 1,297,000 ",23346
P100892,TRM10,M,65,9/4/06," 148,000 ",2960
P100893,UL,F,28,11/19/05," 531,000 ",4779
P100894,TRM10,F,48,4/23/96," 1,080,000 ",11880
P100895,TRM10,M,36,12/20/23," 1,359,000 ",14949
P100896,TRM10,M,66,3/13/09," 631,000 ",13251
P100897,TRM20,F,25,8/9/18," 1,537,000 ",6148
P100898,TRM20,M,52,6/14/21," 651,000 ",3906
P100899,WL,F,59,5/13/21," 1,421,000 ",12789
P100900,WL,M,25,5/25/11," 571,000 ",7994
P100901,TRM30,M,69,11/3/97," 1,625,000 ",16250
P100902,TRM30,M,62,10/28/13," 1,065,000 ",19170
P100903,TRM30,M,27,7/5/06," 449,000 ",3143
P100904,WL,M,67,8/5/18," 1,551,000 ",15510
P100905,TRM30,F,25,7/1/95," 566,000 ",4528
P100906,UL,M,48,12/23/04," 443,000 ",8860
P100907,TRM30,M,58,11/18/23," 940,000 ",17860
P100908,TRM10,F,40,3/24/08," 1,590,000 ",14310
P100909,UL,M,54,2/16/10," 424,000 ",8056
P100910,UL,M,57,5/14/01," 105,000 ",2100
P100911,UL,M,21,7/2/03," 813,000 ",17886
P100912,TRM20,F,22,12/23/98," 1,989,000 ",15912
P100913,TRM20,F,67,1/25/99," 1,150,000 ",5750
P100914,WL,F,71,1/2/18," 201,000 ",1005
P100915,UL,F,53,6/14/99," 1,239,000 ",7434
P100916,UL,F,62,8/16/23," 1,786,000 ",12502
P100917,UL,F,42,3/24/23," 132,000 ",2508
P100918,UL,M,26,9/12/98," 1,792,000 ",16128
P100919,TRM30,F,73,4/9/16," 1,287,000 ",24453
P100920,TRM10,M,20,11/2/19," 1,510,000 ",4530
P100921,WL,F,34,1/7/12," 1,328,000 ",25232
P100922,TRM30,M,31,5/24/06," 344,000 ",7568
P100923,UL,M,31,10/15/06," 1,873,000 ",44952
P100924,UL,F,25,8/17/21," 1,918,000 ",47950
P100925,TRM30,F,56,8/14/16," 139,000 ",2363
P100926,TRM10,F,35,3/3/99," 398,000 ",7164
P100927,TRM10,F,67,5/18/06," 1,365,000 ",8190
P100928,TRM30,F,73,9/5/18," 1,652,000 ",37996
P100929,WL,F,67,1/24/03," 552,000 ",7728
P100930,WL,M,60,2/21/12," 1,598,000 ",35156
P100931,TRM20,F,55,9/16/20," 1,527,000 ",32067
P100932,TRM10,F,22,7/15/20," 1,390,000 ",8340
P100933,TRM20,F,66,1/16/03," 434,000 ",3906
P100934,XX99,F,32,7/4/13," 334,000 ",5010
P100935,TRM10,M,50,6/21/24," 1,724,000 ",5172
P100936,UL,F,25,4/20/16," 479,000 ",11496
P100937,TRM20,M,47,5/7/98," 1,830,000 ",20130
P100938,WL,F,63,5/16/10," 606,000 ",10302
P100939,TRM10,F,36,3/27/02," 1,011,000 ",25275
P100940,WL,M,69,3/1/98," 1,276,000 ",3828
P100941,TRM20,M,36,7/25/12," 1,060,000 ",20140
P100942,UL,F,55,3/25/95," 478,000 ",10038
P100943,TRM10,F,51,7/2/24," 1,115,000 ",15610
P100944,UL,M,30,10/4/97," 1,764,000 ",31752
P100945,TRM30,F,19,7/4/99," 1,931,000 ",9655
P100946,WL,F,25,5/25/11," 596,000 ",8940
P100947,UL,M,71,1/15/21," 481,000 ",8177
P100948,TRM30,F,33,2/5/14," 562,000 ",11802
P100949,WL,F,63,1/13/15," 508,000 ",10668
P100950,TRM20,F,24,1/22/00," 1,255,000 ",26355
P100951,WL,M,56,5/27/98," 713,000 ",13547
P100952,TRM20,M,25,6/14/02," 673,000 ",16825
P100953,WL,F,31,11/1/08," 1,634,000 ",22876
P100954,UL,M,46,7/24/22," 234,000 ",1404
P100955,TRM10,F,56,9/17/02," 573,000 ",6876
